Time,Q1,Q2,Q3,Q4,Q5,Q6,dQ1,dQ2,dQ3,dQ4,dQ5,dQ6,TCPx,TCPy,TCPz
7.82,-1.87410610377557,-2.26060819204623,-0.816200491882741,-1.13197266976047,1.72069736770043,-0.264678029128844,-0.196808398830278,-0.169438225622175,0.310343249328422,-0.16693989629732,0.0949773186721296,-0.174329197382165,0.333772729926345,0.819831828073502,0.246336334719902
7.84,-1.87803715568275,-2.26402152886834,-0.809946818478729,-1.13533643150558,1.7225935485675,-0.268161079787567,-0.196254820337943,-0.171726293520218,0.314709744795744,-0.16928458546275,0.0946206109258024,-0.173938548713757,0.336759094379131,0.819560237064892,0.246479516910758
7.86,-1.88195915922728,-2.26749003523935,-0.803587954199249,-1.1387558199869,1.72448355704259,-0.271638125006504,-0.196040592166992,-0.175544638781102,0.321967827468704,-0.173038790281254,0.0944255817856278,-0.173850780345003,0.339745458721158,0.819288645820368,0.246622699062146
7.88,-1.88587204973255,-2.27101472069312,-0.797121826918761,-1.14223184303283,1.72636734999478,-0.275109121074566,-0.195025917747829,-0.175976132635365,0.322865645523176,-0.173698724431955,0.0938472159206094,-0.173050668206548,0.342731822957691,0.819017054359877,0.246765881198455
7.9,-1.88977573932393,-2.27459666190431,-0.790546023101718,-1.14576578209052,1.72824487457091,-0.278573998654752,-0.195857339169314,-0.184449561021587,0.338916084350008,-0.181740788421111,0.0941510714154582,-0.173895258964815,0.34571818708291,0.818745462644222,0.24690906335365
7.92,-1.89367014973949,-2.2782369923943,-0.783858078538317,-1.14935891265743,1.73011608265985,-0.282032698004733,-0.192387149191338,-0.174432301460554,0.320188672183372,-0.172856102724825,0.0923974990273298,-0.170909002551752,0.348704551108486,0.818473870783102,0.247052245481867
7.94,-1.89755520425892,-2.28193690937968,-0.777055396304565,-1.15301257962914,1.73198092737957,-0.285485160341331,-0.198896557466291,-0.207562835307647,0.38266876980396,-0.203507639900433,0.0954153630582071,-0.176811847373182,0.351690915045381,0.818202278831468,0.247195427550698
7.96,-1.90143082745904,-2.28569767453007,-0.770135246857474,-1.15672819099908,1.73383936235203,-0.288931326788785,-0.182177692176088,-0.140526814074309,0.256687790569083,-0.142420197491838,0.0873256629304009,-0.1620260435903,0.3546772788991,0.817930686765617,0.24733860956158
7.98,-1.90529694584868,-2.28952062913651,-0.763094732162542,-1.16050725290565,1.73569134360096,-0.292371141125193,-0.220279922532894,-0.310163452227005,0.576059013895421,-0.29813473041502,0.105449243801186,-0.196069192437661,0.35766364266659,0.817659094574987,0.247481791528296
8,-1.90915348695285,-2.29340718502753,-0.75593081086808,-1.16435133286118,1.73753682683254,-0.295804545691201,-0.11048496493808,0.158237955892185,-0.305027953315767,0.13050252319051,0.0528555658664521,-0.0983789666732739,0.360650006352088,0.817387502259492,0.247624973455438
8.02,-1.90971964567279,-2.2832269763215,-0.77521637583725,-1.15532973139505,1.73780758676342,-0.29630875590138,-0.00115855837021688,0.621568015920083,-1.17487436519323,0.55311678242201,0.000548644573059286,-0.00103733092489347,0.36363636997471,0.817115909888273,0.24776815527606
8.04,-1.91029030103742,-2.27325918108146,-0.79404815416228,-1.14655030997028,1.73808045815866,-0.29681702501376,-0.0400320733032907,0.444058468841809,-0.837979750933236,0.387994348423183,0.0191437499754509,-0.0356540452548666,0.366622733531966,0.816844317453512,0.247911337000942
8.06,-1.91086550558113,-2.26348860112137,-0.812457619251833,-1.13799680737026,1.73835546113903,-0.297329391837054,-0.0239873752969167,0.504984227374006,-0.950230608487028,0.441677039705785,0.0114657022948685,-0.0213696407461858,0.36960909702354,0.816572724911567,0.248054518682891
8.08,-1.91144531433375,-2.25390169399127,-0.830472799990058,-1.1296547466279,1.7386326245023,-0.297845913334493,-0.0312105377622114,0.465855534266188,-0.874184986324136,0.403687725832927,0.0149192736331343,-0.0278045330653645,0.372595454633828,0.816301135217246,0.2481977271831
8.1,-1.91202978066619,-2.24448634077861,-0.848118759760142,-1.12151119659204,1.73891196970514,-0.298366632891266,-0.0284337735034879,0.470585507806583,-0.880832856158535,0.406006723044677,0.0135879846852526,-0.0253333928049549,0.37558181821041,0.816029544114126,0.24834090896724
8.12,-1.91261892639284,-2.23523164211485,-0.865417953118266,-1.11355461509289,1.73919349466992,-0.298891546704824,-0.0299666170854716,0.457198753507093,-0.853462080684901,0.391788579994014,0.0143188718273507,-0.0267009584062525,0.378568181784419,0.815757952996908,0.248484090754306
8.14,-1.91321287515696,-2.22612774829636,-0.882390860119219,-1.10577438237139,1.73947727934515,-0.299420815084073,-0.0296500890458471,0.452303672771946,-0.842170180323133,0.385430375066404,0.014165497023577,-0.026422893478185,0.381554545355018,0.815486361865417,0.248627272544712
